PRODUCTID,TYPECODE,CATEGORY,HISTORY.CREATEDBY.EMPLOYEEID,HISTORY.CREATEDAT,HISTORY.CHANGEDBY.EMPLOYEEID,HISTORY.CHANGEDAT,NAMEID,DESCID,PRODUCT_TEXT,PRODUCT_DESC,SUPPLIER.PARTNERID,TAXTARIFFCODE,QUANTITYUNIT,WEIGHTMEASURE,WEIGHTUNIT,CURRENCY,PRICE,PRODUCTPICURL,WIDTH,DEPTH,HEIGHT,DIMENSIONUNIT
HT-6123,PR,MP3-Player,0000000033,2012-10-03,0000000033,2012-10-03,1000000163,1000000164,Power Pro Player 80,MP3-Player with 80 GB HDD and Color Display. can play movies,100000036,1,EA,267,G,ZAR,299,/sap/hana/democontent/epmNext/data/images/HT-6123.jpg,0.13,0.02,0.14,M
HT-6122,PR,MP3-Player,0000000033,2012-10-03,0000000033,2012-10-03,1000000165,1000000166,Power Pro Player 40,MP3-Player with 40 GB HDD and Color Display. can play movies,100000037,1,EA,266,G,USD,167,/sap/hana/democontent/epmNext/data/images/HT-6122.jpg,0.08,0.02,0.08,M
HT-6121,PR,MP3-Player,0000000033,2012-10-03,0000000033,2012-10-03,1000000167,1000000168,Basic Booster B,2 GB. Flash. USB,100000038,1,EA,134,G,EUR,63,/sap/hana/democontent/epmNext/data/images/HT-6121.jpg,0.05,0.01,0.09,M
HT-6120,PR,MP3-Player,0000000033,2012-10-03,0000000033,2012-10-03,1000000169,1000000170,Basic Booster A,1 GB. Flash. USB,100000039,1,EA,134,G,INR,45,/sap/hana/democontent/epmNext/data/images/HT-6120.jpg,0.05,0.02,0.06,M
HT-6111,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000171,1000000172,Record Movie,160 GB HDD. CD-RW. DVD+R/RW. DVD-R/RW. MPEG 2 (Video-DVD). MPEG 4. VCD. SVCD. DivX. Xvid,100000040,1,EA,3.1,KG,PLN,288,/sap/hana/democontent/epmNext/data/images/HT-6111.jpg,0.38,0.26,0.06,M
HT-6110,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000173,1000000174,Play Movie,CD-RW. DVD+R/RW. DVD-R/RW. MPEG 2 (Video-DVD). MPEG 4. VCD. SVCD. DivX. Xvid,100000041,1,EA,2.4,KG,ARS,130,/sap/hana/democontent/epmNext/data/images/HT-6110.jpg,0.37,0.24,0.06,M
HT-6102,PR,Beamer,0000000033,2012-10-03,0000000033,2012-10-03,1000000175,1000000176,Beam Breaker B-3,2500 ANSI-Lumen. max.12.3Meter. 800 Pixel. 600 Pixel,100000042,1,EA,2.5,KG,CNY,889,/sap/hana/democontent/epmNext/data/images/HT-6102.jpg,0.3,0.23,0.23,M
HT-6101,PR,Beamer,0000000033,2012-10-03,0000000033,2012-10-03,1000000177,1000000178,Beam Breaker B-2,2200 ANSI-Lumen. max.9.34 Meter. 800 Pixel. 600 Pixel,100000043,1,EA,2,KG,DKK,679,/sap/hana/democontent/epmNext/data/images/HT-6101.jpg,0.32,0.21,0.18,M
HT-2002,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000179,1000000180,Portable DVD Player with 9 LCD Monitor,9 LCD Screen. storage holds up to 8 hours. 2 speakers included,100000044,1,EA,0.72,KG,EUR,853.99,/sap/hana/democontent/epmNext/data/images/HT-2002.JPG,0.21,0.17,0.14,M
HT-6100,PR,Beamer,0000000033,2012-10-03,0000000033,2012-10-03,1000000181,1000000182,Beam Breaker B-1,1900 ANSI-Lumen. max. 8.45 Meter. 800 Pixel. 600 Pixel,100000000,1,EA,1.7,KG,EUR,469,/sap/hana/democontent/epmNext/data/images/HT-6100.jpg,0.18,0.15,0.12,M
HT-2027,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000183,1000000184,Removable CD/DVD Laser Labels,To archive your self-burned CDs,100000001,1,EA,0.15,KG,EUR,24.99,/sap/hana/democontent/epmNext/data/images/HT-2027.jpg,0.06,0,0.02,M
HT-2026,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000185,1000000186,Audio/Video Cable Kit - 12 ft,Connecting our beamers and notebooks using full quality,100000002,1,EA,0.2,KG,USD,29.99,/sap/hana/democontent/epmNext/data/images/HT-2026.jpg,0.21,0.1,0.13,M
HT-2025,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000187,1000000188,CD/DVD case: 264 capacity,Keeps your CD and DVDs clean and in order with our CD/DVD case,100000003,1,EA,0.65,KG,EUR,44.99,/sap/hana/democontent/epmNext/data/images/HT-2025.jpg,0.67,0.23,0.25,M
HT-2001,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000189,1000000190,10 Portable DVD player,10 LCD Screen. storage battery holds up to 8 hours,100000004,1,EA,0.84,KG,USD,449.99,/sap/hana/democontent/epmNext/data/images/HT-2001.JPG,0.24,0.2,0.29,M
HT-2000,PR,Electronics,0000000033,2012-10-03,0000000033,2012-10-03,1000000191,1000000192,7 Widescreen Portable DVD Player w MP3,7 LCD Screen. storage battery holds up to 6 hours!,100000005,1,EA,0.79,KG,EUR,249.99,/sap/hana/democontent/epmNext/data/images/HT-2000.JPG,0.21,0.19,0.28,M
HT-1603,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000193,1000000194,Gaming Monster Pro,2.5 Ghz. quad core. 8 GB RAM. 700 GB Hdd. Graphic Card: Hurricane GX,100000006,1,EA,6.8,KG,JPY,1700,/sap/hana/democontent/epmNext/data/images/HT-1601.jpg,0.27,0.28,0.42,M
HT-1602,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000195,1000000196,Gaming Monster,2.2 Ghz. dual core. 2 GB RAM. 400 GB Hdd. Graphic Card: Gladiator MX,100000007,1,EA,5.9,KG,EUR,1200,/sap/hana/democontent/epmNext/data/images/HT-1602.jpg,0.27,0.34,0.47,M
HT-1601,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000197,1000000198,Family PC Pro,2 Ghz. dual core. 1 GB RAM. 250 GB Hdd. Graphic Card: Gladiator MX,100000008,1,EA,5.3,KG,MXN,900,/sap/hana/democontent/epmNext/data/images/HT-1601.jpg,0.25,0.32,0.4,M
HT-1600,PR,PC,0000000033,2012-10-03,0000000033,2012-10-03,1000000199,1000000200,Family PC Basic,1.8 Ghz. dual core.512 MB Ram. 100 GB HDD. Graphic Card: Proctra X,100000009,1,EA,4.8,KG,ARS,600,/sap/hana/democontent/epmNext/data/images/HT-1600.jpg,0.21,0.29,0.38,M
HT-1119,PR,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000201,1000000202,USB Stick 2 GB,USB 2.0 High-Speed 2GB,100000010,1,EA,88,G,USD,79,/sap/hana/democontent/epmNext/data/images/HT-1119.jpg,0.02,0.03,0.04,M
HT-8000,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000203,1000000204,ITelO FlexTop I4000,1.5 Ghz. single core. 40 GB HDD. Windows Vista Home Basic. 512 MB RAM,100000011,1,EA,4,KG,EUR,799,/sap/hana/democontent/epmNext/data/images/HT-8000.jpg,0.31,0.19,0.03,M
HT-8001,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000205,1000000206,ITelO FlexTop I6300c,1.6 Ghz. dual core. 60 GB HDD. Windows Vista Home Basic. 512 MB RAM+,100000012,1,EA,4.2,KG,GBP,999,/sap/hana/democontent/epmNext/data/images/HT-8001.jpg,0.32,0.2,0.03,M
HT-8002,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000207,1000000208,ITelO FlexTop I9100,2.2 Ghz. quad core. 80 GB HDD. Windows Vista Home Premium. 1024 MB RAM,100000013,1,EA,3.5,KG,EUR,1199,/sap/hana/democontent/epmNext/data/images/HT-8002.jpg,0.38,0.21,0.04,M
HT-8003,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000209,1000000210,ITelO FlexTop I9800,2.8 Ghz. quad core. 120 GB HDD. Windows Vista Home Premium. 2048 MB RAM,100000014,1,EA,3.8,KG,USD,1388,/sap/hana/democontent/epmNext/data/images/HT-8003.jpg,0.48,0.31,0.05,M
AD-1000,AD,Others,0000000033,2012-10-03,0000000033,2012-10-03,1000000211,1000000212,Flyer,Flyer for our new product,100000015,1,EA,0.01,KG,CAD,0,/sap/hana/democontent/epmNext/data/images/AD-1000.jpg,0.46,0.3,0.03,M
